Sample,Trial 1,Trial 2,Trial 3,Mean,Enzyme,CBDV ,CBDVA ,THCV ,CBD ,CBG ,CBDA ,CANNFLAVIN ,CBGA ,CBN ,THC ,THCVA ,CBC ,CBNA ,THCA ,CBCA ,Total THC,Total CBD,Total CBD + THC,Total Cannabinoids,Ratio CBD/THC 
Cannabis Unheated,44.50549451,44.50549451,41.16504854,43.39201252,COX-1,3.542724501,0,0,0,1.236794514,0,0.809689303,9.173631653,0,35.59245189,3.063225012,0.324391316,4.172799544,660.2364772,19.99255046,695.8289291,0,695.8289291,738.1447354,0
Cannabis Unheated,66.360601,54.37935035,51.97171607,57.57055581,COX-2,3.562090822,0.078658032,0,0,0.727232754,0,0.602784607,6.471497181,0.303835768,21.68259218,4.539478607,2.840040701,4.163873992,753.6742652,4.711098528,775.3568573,0,775.3568573,803.3574483,0
Cannabis Unheated,60.26711185,67.57540603,53.84824585,60.56358791,COX-2,3.437510937,0,0,2.374835196,4.216079665,0,0.960535113,69.27283702,0,39.04701423,6.738771611,0,3.437181582,707.1830258,6.728671432,746.2300401,2.374835196,748.6048753,843.3964626,315.2239265
Cannabis Unheated,73.33055092,70.79466357,61.32716889,68.48412779,COX-2,2.590886762,0.669374294,0,0,3.881688393,0,0.754048018,60.60579446,0,47.45408312,3.387708874,0.651975034,3.217799727,560.1967172,28.2030061,607.6508003,0,607.6508003,711.613082,0
Cannabis Unheated,53.25542571,60.58584687,44.32961654,52.7236297,COX-2,3.542724501,0,0,0,1.236794514,0,0.809689303,9.173631653,0,35.59245189,3.063225012,0.324391316,4.172799544,660.2364772,19.99255046,695.8289291,0,695.8289291,738.1447354,0
Cannabis Heated,84.37668355,83.34231225,86.68246956,84.80048845,COX-1,0.023244358,0,3.560765551,0.825806416,6.833587205,0,0.230676528,0.725932173,3.426446747,954.3289377,0,5.753588806,0.012814267,0,0.507150638,954.3289377,0.825806416,955.1547441,976.2289504,1156.632747
Cannabis Heated,89.2899472,89.44079302,92.84559853,90.52544625,COX-1,0.016346413,0,4.579520452,1.276308162,52.05166671,0,0.675765299,0,3.042506992,781.4651914,0,8.427989837,0,0,0.405611645,781.4651914,1.276308162,782.7414995,851.9409069,613.2856648
Cannabis Heated,87.95388428,93.79377222,90.92770176,90.89178609,COX-1,0.131829438,0,2.780764272,0.600719743,52.57472599,0,0.696539026,0,2.680665243,722.4622199,0,27.86035522,0,0,0.089006591,722.4622199,0.600719743,723.0629396,809.8768254,1203.661021
Cannabis Heated,82.43723737,89.87178106,84.76457278,85.69119707,COX-1,0.133270594,0.097511652,2.478424362,1.149414261,8.767194108,0,0.474582067,1.507096598,4.055647536,881.6830502,0,17.95858882,0,0,1.556013807,881.6830502,1.149414261,882.8324645,919.860794,768.0716124
Cannabis Heated,87.37205043,86.10063571,84.78612219,86.08626944,COX-2,0.023244358,0,3.560765551,0.825806416,6.833587205,0,0.230676528,0.725932173,3.426446747,954.3289377,0,5.753588806,0.012814267,0,0.507150638,954.3289377,0.825806416,955.1547441,976.2289504,1156.632747
Cannabis Heated,90.47516431,89.85023166,89.03135438,89.78558345,COX-2,0.016346413,0,4.579520452,1.276308162,52.05166671,0,0.675765299,0,3.042506992,781.4651914,0,8.427989837,0,0,0.405611645,781.4651914,1.276308162,782.7414995,851.9409069,613.2856648
Cannabis Heated,89.74248465,90.58291132,89.33304601,89.88614733,COX-2,0.131829438,0,2.780764272,0.600719743,52.57472599,0,0.696539026,0,2.680665243,722.4622199,0,27.86035522,0,0,0.089006591,722.4622199,0.600719743,723.0629396,809.8768254,1203.661021
Cannabis Heated,90.3243185,87.71684086,87.19965521,88.41360486,COX-2,0.133270594,0.097511652,2.478424362,1.149414261,8.767194108,0,0.474582067,1.507096598,4.055647536,881.6830502,0,17.95858882,0,0,1.556013807,881.6830502,1.149414261,882.8324645,919.860794,768.0716124
